종목명,개인,외국인,기관계,기관,,,,,,,기타법인
지트리비앤티,-17966,+13305,-586,-417,,,,,+23,-192,+5784
지티지웰니스,-41101,+41101,,,,,,,,,
진바이오텍,-21935,+4619,,,,,,,,,+14270
진코스텍,+48,,-48,,,,,,,-48,
질경이,-1,,,,,,,,,,
천랩,+3679,+1339,-4958,,,,,,-4958,,+3
청광건설,,,,,,,,,,,
체리부로,+6127,-6127,,,,,,,,,
초록뱀미디어,-116537,+91371,-6663,+341,,-7004,,,,,+36660
초록뱀컴퍼니,-149957,+13420,,,,,,,,,+123012
카이노스메드,-79561,+65873,+3051,+233,,+225,,,,+2593,+13328
캐리소프트,-17496,+16492,,,,,,,,,+2794
캐스텍코리아,-47607,+39942,,,,,,,,,
캔서롭,,,,,,,,,,,
케어룸의료산업,+100,,-100,-100,,,,,,,
케이디켐,-1762,+2293,,,,,,,,,-648
케이맥,-25248,+21175,,,,,,,,,+4023
케이비제19호스팩,-10,,+10,+10,,,,,,,
케이씨피드,-9852,+13878,-4665,-3789,,,,,,-876,
케이에스피,-20251,+20329,,,,,,,,,
케이엔제이,+9019,+70260,-26717,-4750,,+4800,,,,-26767,-53128
케이프이에스제4호,,,,,,,,,,,
케이피엠테크,+842364,-839492,,,,,,,,,-12800
케이피티유,-4051,+3195,,,,,,,,,+856
코나아이,+5419,-8901,+3705,+6301,-20,+2613,,,,-5189,-121
코너스톤네트웍스,,,,,,,,,,,
코다코,+1963,-1966,,,,,,,,,
코디,+36732,-17828,,,,,,,,,-20491
코드네이처,+4881,-81,,,,,,,,,
코디엠,+5835249,+188232,+931884,,,+931884,,,,,-6848999
코렌,+177237,-117068,,,,,,,,,-65199
코렌텍,-4057,+1778,-1,-1,,,,,,,+1930
코리아에스이,-2993,+2910,,,,,,,,,
코셋,,,,,,,,,,,
코센,,,,,,,,,,,
코스나인,+18059,-11935,,,,,,,,,
코스맥스엔비티,-144107,+105423,+51694,+501,+14198,+28632,,,+8363,,-12468
코스온,,,,,,,,,,,
코아시아옵틱스,,,,,,,,,,,
코오롱생명과학,-3558,+2857,+1,+1,,,,,,,+700
코이즈,+8884,-9043,,,,,,,,,
큐로컴,-49094,+59002,-373,-373,,,,,,,-10434
큐로홀딩스,-29795,+21795,,,,,,,,,
큐리언트,-4114,+3589,+2,+2,,,,,,,-3468
큐브앤컴퍼니,-5595,+5914,,,,,,,,,-329
큐엠씨,,,,,,,,,,,
크로넥스,-216,,+216,+216,,,,,,,
크로바하이텍,,,,,,,,,,,
크루셜텍,+3842,-5903,-112,,,,,,-112,,-2000
키네마스터,+48553,-43767,,,,,,,,,-4938
키움제5호스팩,+3500,,-3500,-3500,,,,,,,
탑선,+1004,,-1004,,,,,,,-1004,
태양기계,,,,,,,,,,,
태양,-256,+206,,,,,,,,,+50
태웅,,,,,,,,,,,
테라사이언스,-16413,+25413,,,,,,,,,-9000
테라셈,,,,,,,,,,,
테크엔,,,,,,,,,,,
테크트랜스,,,,,,,,,,,
텔콘RF제약,+29744,-30839,+600,+814,,,,,+1070,-1284,
토탈소프트,-7217,+6765,,,,,,,,,+2
투비소프트,-1568,-4878,,,,,,,,,+5333
툴젠,,,,,,,,,,,
티앤알바이오팹,-45873,+16394,+30837,-3470,,+33341,,,,+966,-1151
티엘아이,-1282,+632,,,,,,,,,+640
티케이씨,,,,,,,,,,,
티티씨디펜스,,,,,,,,,,,
티피씨글로벌,+44436,-41611,-2971,-2406,,,,,,-565,+58
틸론,,,,,,,,,,,
파나진,-42662,+53292,,,,,,,,,-10500
파라텍,,,,,,,,,,,
파루,+5469,-724,,,,,,,,,
파마리서치바이오,,,,,,,,,,,
파수,-30790,+34824,+1934,+1102,,,,,,+832,-6194
파워넷,-60988,+57554,,,,,,,,,+100
파워풀엑스,,,,,,,,,,,
파인디앤씨,+2527,-32307,+30000,+30000,,,,,,,
팍스넷,,,,,,,,,,,
판도라티비,-49,,-1,-1,,,,,,,
판타지오,-264205,-100474,,,,,,,,,+115762
팬젠,-12263,+4073,,,,,,,,,+8190
펨토바이오메드,,,,,,,,,,,
펩트론,-1975,+10542,-522,-522,,,,,,,-8045
포스링크,,,,,,,,,,,
포인트모바일,-3905,+4459,-298,-198,,,,,,-100,-124
포티스,,,,,,,,,,,
폭스소프트,-100,,+100,+100,,,,,,,
폴라리스오피스,+43253,-43253,,,,,,,,,
폴라리스웍스,+256640,-160457,,,,,,,,,-96291
푸른저축은행,-636,+1821,-728,-728,,,,,,,
퓨전,,,,,,,,,,,
퓨쳐켐,-21353,-2191,-15,-39,,+24,,,,,+18465
프로스테믹스,+27401,-34799,+4,+4,,,,,,,+8393
프로테옴텍,+982,,-982,,,,,,,-982,
프리엠스,+5959,-5290,,,,,,,,,+2
플럼라인생명과학,,,,,,,,,,,
피노텍,-2001,,+2000,,,+2000,,,,,+1
피씨엘,-22515,+21954,-4,-4,,,,,,,+649
피에스엠씨,-247520,+191041,-5474,-5474,,,,,,,+65378
피에이치씨,-3987,-1157,,,,,,,,,+354
피엔아이컴퍼니,,,,,,,,,,,
픽셀플러스,-699,+699,,,,,,,,,
필옵틱스,-10745,+8467,+2172,+172,,,,,,+2000,
하나기술,-28990,+9080,+20157,+15,+181,+4291,,,+768,+14902,+110
하림,-3265,-14759,+14866,+14888,-22,,,,,,+3000
하이소닉,,,,,,,,,,,
한국미라클피플사,,,,,,,,,,,
한국정밀기계,,,,,,,,,,,
한국정보공학,-1413,-374,,,,,,,,,+1787
한국제8호스팩,-13348,,+13335,,,,,,,+13335,
한국코퍼레이션,,,,,,,,,,,
한국테크놀로지,-22843,+6899,,,,,,,,,+13450
한국파마,-9588,+10324,-142,-142,,,,,,,-816
한스바이오메드,-23086,+16764,+378,-21,,+399,,,,,+4556
한양디지텍,-6544,+6744,,,,,,,,,
한일사료,+71684,-71915,,,,,,,,,
한일진공,+37961,-37763,,,,,,,,,+2
한중엔시에스,,,,,,,,,,,
한탑,+24216,-24226,,,,,,,,,
한프,,,,,,,,,,,
한화에스비아이스팩,+50457,-20849,,,,,,,,,-4000
한화플러스제1호스팩,+78549,+8,-79912,-76112,,,,,,-3800,+792
해성옵틱스,+21132,-5032,,,,,,,,,-16100
핸디소프트,-29737,-2029,,,,,,,,,+31827
행남사,,,,,,,,,,,
헬릭스미스,+50483,-52576,+172,-151,,,,,+558,-235,+2010
현대바이오,-9189,+8946,-546,-34,,,,,+14,-526,+103
현진소재,,,,,,,,,,,
형지I&C,-46542,+49834,,,,,,,,,+3
홈캐스트,+14511,-16511,,,,,,,,,+2000
휘닉스소재,+258946,-277070,,,,,,,,,+13514
휴럼,,,,,,,,,,,
휴림로봇,-57405,+62162,,,,,,,,,
휴마시스,+75579,+10390,+114390,-15,,+138405,,-24000,,,-185194
휴맥스홀딩스,+1423,-1423,,,,,,,,,
휴맥스,+7708,-11145,,,,,,,,,+3428
휴먼엔,-58348,+61989,,,,,,,,,-958
휴벡셀,,,,,,,,,,,
휴온스글로벌,+82,-2104,+345,+4,-2,,,,,+343,+1592
3S,+34365,-34366,,,,,,,,,
AP시스템,+980,+8817,-10454,+1266,-12690,+1000,,,+150,-180,+951
AP위성,+23658,-22233,,,,,,,,,+12
CJ프레시웨이,-1010,+1158,+30,+30,,,,,,,+107
CMG제약,-84861,+73654,+3184,-891,-47,,,,+4893,-771,+10050
DB금융스팩8호,-10,,+10,+10,,,,,,,
DB금융스팩9호,,,,,,,,,,,
DMS,-14546,+12012,+2630,+2168,,,,,,+462,
DSC인베스트먼트,-38248,+27659,-4674,-4674,,,,,,,+15000
GH신소재,-34757,+32659,,,,,,,,,+2154
GST,-25784,+17259,+8609,+2,,+5079,,,,+3528,+91
HB테크놀러지,+153755,-168693,-18218,+7226,+13477,+15019,,,-53940,,+32442
HRS,-7612,+7157,,,,,,,,,+387
IBKS제12호스팩,-23,+23,,,,,,,,,
IBKS제13호스팩,-2500,,+2500,+2500,,,,,,,
IBKS제14호스팩,,,,,,,,,,,
IBKS제15호스팩,-6067,-739,+11806,,,,,,,+11806,-5000
ISC,-34578,+3389,+31120,-812,-13,+32541,,,-596,,+915
JW신약,-32011,+33969,+2,+2,,,,,,,-2000
JYP Ent.,+74290,-67643,-7468,+92,-10,-400,,,-2808,-4342,+502
KBI메탈,-84381,+84906,,,,,,,,,
KB오토시스,+17299,-16946,,,,,,,,,+250
KCI,-4339,+4741,-7,-7,,,,,,,-400
KG ETS,-220774,+191136,+27246,-9030,,-3000,,,,+39276,+3005
KG모빌리언스,-166354,+32178,+142189,+10534,,+101329,,,,+30326,-3748
KG이니시스,-15748,+3210,+12830,+2593,-7,+1286,,,+210,+8748,-71
KH바텍,-83210,+80222,-3212,-1631,-10,-967,,,+220,-824,+6361
KMH하이텍,+16824,-11339,,,,,,,,,
KNN,+413,,,,,,,,,,-500
KTH,-10027,+20066,-1575,,,,,,,-1575,-8227
KT서브마린,-22057,+20032,+2000,+2000,,,,,,,
NHN벅스,+1962,-1962,,,,,,,,,
NHN한국사이버결제,-60709,+5282,+55042,+563,+619,+3464,,,+50609,-213,+157
NICE평가정보,-21840,+41123,-19238,+229,-13,-248,,,-2507,-16699,-44
PI첨단소재,-20266,+448,+21612,+11465,+1295,+3333,,+504,+5231,-216,-1742
PN풍년,+20913,-10444,-18296,-1741,,-16074,,,,-481,+7548
RFHIC,-208350,+153281,+58679,+2593,-5896,+28843,,,-11954,+45093,-3279
RF머트리얼즈,+11135,+2868,-14075,-15,,-7762,,,,-6298,
S&K폴리텍,+15155,-15170,+15,,,,,+15,,,
SBI인베스트먼트,-512545,+513290,+2660,-5000,,,,,,+7660,+5900
SBS콘텐츠허브,-27615,+6819,+26135,+16,,,,,+26119,,-5339
SCI평가정보,-21684,+21676,,,,,,,,,
SDN,+99076,-101065,+556,+556,,,,,,,
SK5호스팩,-1,+1,,,,,,,,,
SG,-61405,+73967,-12901,-12901,,,,,,,+300
SFA반도체,-125618,+131708,+6109,+8245,,,,,-947,-1189,-6587
SG&G,-14704,+14611,,,,,,,,,+151
SK6호스팩,-10,,+10,+10,,,,,,,
SK머티리얼즈,-1821,+4517,-3382,-6260,+70,+2258,,,+1058,-508,+691
SM C&C,+39166,-39320,+53,+53,,,,,,,+40
SM Life Design,+1497100,-1270383,-204740,,,-204740,,,,,-29545
SV인베스트먼트,-53654,+52523,-4,-4,,,,,,,-178
THE E&M,-727482,+301658,,,,,,,,,+426025
TJ미디어,+1039,-1039,,,,,,,,,
TPC,+26344,+601,-27164,,,,,,,-27164,
TS트릴리온,+35865,-35515,,,,,,,,,
WI,+36884,-25606,+6511,,,+6511,,,,,-17800
YBM넷,+32765,-30377,,,,,,,,,-1008
YW,+5662,-5662,,,,,,,,,
YTN,+1136,-1136,,,,,,,,,
iMBC,-2792,+2790,,,,,,,,,
가비아,-27103,+16173,+11000,+2420,,+5390,,,,+3190,
가온미디어,-8771,-6486,+109,+109,,,,,,,+13689
갤럭시아머니트리,+4521,+1474,-5348,-545,,,,,,-4803,+90
경남스틸,+46248,-42572,,,,,,,,,-2777
경남제약,-28482,+28482,,,,,,,,,
경동제약,-27969,+26135,+868,+1091,,,,,-223,,-6080
고려시멘트,-6034,+3814,,,,,,,,,+1000
고려신용정보,+8256,+7708,-6773,,,-6773,,,,,-9812
고려제약,-17378,+10079,,,,,,,,,+6941
고바이오랩,-4144,-5239,+7595,,+805,,,,+6790,,+1770
고영,-17655,-5881,+23331,+5402,-32,-1827,,,+17671,+2117,-9
골프존뉴딘홀딩스,-18000,-729,+17100,-79,,+12712,,,,+4467,+1800
골프존,-1006,+4328,+1621,+838,+762,,,+1135,-4745,+3631,-5013
광진윈텍,-2247,-1403,+3650,+3023,,,,,,+627,
교보10호스팩,,,,,,,,,,,
국보디자인,+1534,-1435,,,,,,,,,+1
국영지앤엠,+32966,-28268,,,,,,,,,-5000
국일신동,-32252,+37107,,,,,,,,,
국전약품,-4479,+2940,+1500,+1500,,,,,,,
그리티,-5432,+5290,,,,,,,,,+42
그린플러스,-23868,-4320,+37438,-816,,+20553,,,,+17701,-7301
글로벌텍스프리,+4035,-4141,,,,,,,,,+31
금강철강,-12662,+11722,,,,,,,,,
금화피에스시,+4130,-4045,,,,,,,,,-85
기산텔레콤,+19515,-17988,,,,,,,,,-1521
까스텔바작,+2493,-2324,,,,,,,,,+11
나노신소재,+12541,-15015,+1026,+841,,+185,,,,,+1442
나노,-53884,+38315,,,,,,,,,+4874
나노캠텍,-6895,+6485,,,,,,,,,+167
나노씨엠에스,-4039,+8424,-1610,-1610,,,,,,,-2775
나노엔텍,-14591,+3717,+6469,+7418,,-949,,,,,+3480
나라엠앤디,+5302,-5415,+133,+133,,,,,,,
나무가,+8731,+1369,-10000,,,,,,-10000,,+11
나무기술,-11913,+8490,+211,+211,,,,,,,+3500
나스미디어,+7794,-4416,-3448,-2,-2984,-462,,,,,+56
나이스디앤비,-5253,+4849,-71,-11,,,,,,-60,+475
나이스정보통신,+522,+2474,-812,-185,-2,-620,,,,-5,-2184
나인테크,+407826,-16351,-252751,-252751,,,,,,,-137750
남화산업,+16174,+4780,-1323,-1323,,,,,,,-19631
남화토건,-22969,+25767,,,,,,,,,-2800
네오리진,-139481,+140085,,,,,,,,,+396
네오셈,-909,+909,,,,,,,,,
네오오토,-24573,+26921,-2468,-2032,,,,,,-436,+120
네오위즈홀딩스,+6721,+8351,-15127,+74,,-4631,,,,-10570,-582
네오위즈,-3379,+6055,+2372,+3196,-6,+623,,,-5941,+4500,-4802
네오크레마,+2529,-2875,,,,,,,,,+296
네오티스,+2962,-2973,,,,,,,,,+1
네오팜,-1107,+2908,-1949,-611,+2229,-738,,,-323,-2506,+158
네패스아크,-2414,+2283,-386,-110,,-276,,,,,+500
네패스,-9005,+10068,-2236,-1356,-1243,+401,,,+226,-264,+1086
넥스턴바이오,-1575,+1535,,,,,,,,,
넥스트아이,+5066,-5088,,,,,,,,,
넥스틴,+3168,+860,-4029,-1701,,-1156,,,,-1172,-18
넥슨지티,-27091,+27379,+364,+371,-7,,,,,,+283
노랑풍선,+15435,-8035,-7199,+1,,-7200,,,,,
노바렉스,-4971,+11834,-11717,-2368,+1253,-11557,,+2202,+502,-1749,+5100
노바텍,-150641,+114709,+31826,-408,+1424,+5463,,,+20950,+4397,+4922
노터스,+16644,-15999,,,,,,,,,-1810
녹십자랩셀,+10525,-15698,+4955,-280,-60,-637,,,+7403,-1471,+265
녹십자셀,-3686,+3542,+87,+35,-4,,,,+120,-64,+45
녹십자웰빙,-2845,+2810,,,,,,,,,+40
농우바이오,-22475,+12231,+10479,-118,,,,,+7000,+3597,-51
누리플렉스,+3228,-3228,,,,,,,,,
뉴보텍,-76374,+76403,,,,,,,,,
뉴인텍,+63789,-72261,,,,,,,,,+329
뉴트리,+3628,-1716,-1621,-1621,,,,,,,+36
뉴파워프라즈마,-142623,+142880,-4663,-4663,,,,,,,-223
다날,+1656,-176128,-2181,-2181,,,,,,,+170278
다나와,+74891,-67785,-7353,+3778,+1387,+460,,,-13067,+89,+11
다믈멀티미디어,+4403,-4403,,,,,,,,,
다산네트웍스,-13416,+13120,+136,+136,,,,,,,+150
다우데이타,-3049,+8362,-5440,-5259,,,,,+170,-351,+98
다원시스,-3361,+18900,-14027,-2220,,-1736,,,-9680,-391,+60
대동스틸,+74939,-75500,+22,+22,,,,,,,+791
대륙제관,-9815,+5503,+3529,+2897,,,,,,+632,+153
대림제지,-2862,+1594,+1739,+1456,,,,,,+283,
대명소노시즌,+17496,-27722,,,,,,,,,+10000
대모,-9503,+1635,+7200,,,+7200,,,,,+68
대보마그네틱,+11388,-432,-11041,-94,,,,,,-10947,
대봉엘에스,+17235,-16685,,,,,,,,,-550
대성미생물,-2082,+2072,,,,,,,,,
대성창투,-452293,+459525,+1982,,,,,,,+1982,-7500
대성파인텍,+323266,-209447,-117596,,,-117596,,,,,-660
대신밸런스제7호스팩,+15,-35,+20,+20,,,,,,,
대신밸런스제8호스팩,-22,,+22,+22,,,,,,,
대신밸런스제9호스팩,,,,,,,,,,,
대신정보통신,+116801,-116801,,,,,,,,,
대아티아이,+213278,-227370,+171,+339,,,,,+780,-948,+9160
대양전기공업,-10801,+10382,-277,,,-41,,,-236,,
대원산업,+9603,-11521,+1767,+1944,,-511,-149,,,+483,+150
대원,+1321,-275,,,,,,,,,-1013
대유에이피,-2670,+2671,,,,,,,,,
대유,-4452,+2342,+1921,+1921,,,,,,,
대정화금,-5594,+8329,-3390,-3256,,-134,,,,,+370
대주산업,-180242,+200511,-1,-1,,,,,,,-21500
대주전자재료,-19618,+10174,+5137,+221,-25,-81,,,+4968,+54,+4389
대한과학,+18378,-17799,-16,-16,,,,,,,-2077
대한광통신,-52854,+26040,+741,+741,,,,,,,+25105
대한뉴팜,-1715,+1704,+1,+1,,,,,,,+40
대한약품,-4146,+3908,,,,,,,,,+38
대화제약,+3046,-3039,+1,+1,,,,,,,
더네이쳐홀딩스,+555,-1610,+1691,+1700,-9,,,,,,-636
덕산네오룩스,-57510,-7519,+59129,+2235,+11614,+15121,,,+11664,+18495,+3523
덕산테코피아,-5278,-446,+5349,+825,,,,,-5460,+9984,+720
덕산하이메탈,+67728,-65122,+371,+495,,-124,,,,,-2710
덕신하우징,+161276,-74293,,,,,,,,,-87653
덕우전자,-48041,+23035,+25000,+25000,,,,,,,
데이타솔루션,-777,+825,,,,,,,,,
덱스터,+22075,-21298,+14049,+14049,,,,,,,-15000
덴티스,,,,,,,,,,,
도이치모터스,-42854,+9007,+87615,+238,+1599,+5039,,+29171,+51568,,-46210
동구바이오제약,+12465,-10195,-1236,+1,,,,,,-1237,-1039
동국S&C,+127769,-93105,+4093,+4175,,,,,+360,-442,
동국산업,+586992,-633959,+76,,,,+1638,,,-1562,+45174
동국알앤에스,+28756,-44051,,,,,,,,,+15000
동국제약,+12809,+15107,-28406,+485,-27941,-167,,,-621,-162,+654
동성화인텍,-5893,+25032,-16677,-16660,-10,-7,,,,,-2760
동아엘텍,-314,+11242,,,,,,,,,-10800
동아화성,-8179,+9624,+1580,+1580,,,,,,,-2190
동양이엔피,-4910,+5609,-766,-1052,,,+532,,,-246,+52
동양파일,-148663,+101201,+34153,-44,,+30520,,+726,+744,+2207,+11609
동우팜투테이블,+12042,-18043,,,,,,,,,+6000
동원개발,+10453,+94602,-30628,+1668,-20,-14294,-8991,-47,,-8944,-74905
동일금속,-33,,,,,,,,,,+55
동일기연,-2609,+2019,+594,+490,,,,,,+104,-4
동진쎄미켐,-55379,+28398,+22454,+8840,+5625,-1758,,+454,+19538,-10245,+5145
동화기업,-73982,+11682,+61252,+2153,+3103,+15996,,-300,+5784,+34516,+375
드림시큐리티,+54365,-52176,,,,,,,,,
드림씨아이에스,+13719,-13726,,,,,,,,,+5
디바이스이엔지,+3429,-3812,+273,,,,,,,+273,+108
디스플레이텍,-12971,+12961,,,,,,,,,
디아이티,-3175,+9916,+981,+981,,,,,,,-2472
디알젬,+2948,+3614,-1,-1,,,,,,,-6900
디알텍,-36664,+36864,,,,,,,,,
디앤씨미디어,-22094,+15133,+9580,+9671,-91,,,,,,-409
디에스케이,-4041,+4014,,,,,,,,,
디에이치피코리아,-11996,+13453,,,,,,,,,-1257
디에이테크놀로지,+14073,-15227,+951,+951,,,,,,,
디오,+12314,-7496,-6737,+2036,+3056,-10979,,+2457,+13,-3320,+814
디와이피엔에프,-3351,+3351,,,,,,,,,
디에이피,+5920,-5920,,,,,,,,,
디엔에이링크,+56493,-59307,,,,,,,,,+3302
디엔에프,-71009,+14719,+53177,+728,+4738,+16479,,,,+31232,+3118
디지캡,+111404,-54873,-5931,-3495,,-762,,,,-1674,-50571
디지털대성,+49661,+36341,-30,-30,,,,,,,-85952
디지틀조선,+31807,-32704,,,,,,,,,-150
디케이락,-8682,+8320,+359,+359,,,,,,,
디케이앤디,-7465,+7665,,,,,,,,,-200
디케이티,-15121,+5050,+10070,+10070,,,,,,,
디티앤씨,+1048,-1048,,,,,,,,,
딜리,-9532,+10195,,,,,,,,,-31
라닉스,-15228,+15395,,,,,,,,,
라온시큐어,+96734,-94568,,,,,,,,,+573
라온피플,-18595,+17084,+491,+169,,-162,,,,+484,+1000
라이온켐텍,+26254,-25895,,,,,,,,,-291
라이프시맨틱스,+302801,-16167,-56143,-10714,,+6812,,-48216,,-4025,-231527
라파스,+28123,-26586,-3159,,,-3159,,,,,+1746
램테크놀러지,-8593,+8888,,,,,,,,,
랩지노믹스,+25479,+25493,-62774,+7406,,-8443,,+515,-6572,-55680,+6688
러셀,-8330,+10611,,,,,,,,,
레고켐바이오,+7529,+17165,-19966,+820,+1018,+3454,,+1353,-17306,-9305,-2986
레드캡투어,-5195,+906,+4286,+155,+1406,+2725,,,,,-99
레몬,+13312,+10057,+18,+56,,,,,+190,-228,-25658
레이언스,-8064,-2029,+11093,+1093,+241,+2028,,,+7731,,-1000
레이크머티리얼즈,-23076,+17139,,,,,,,,,+184
레이,+36379,-9892,-18808,-8525,-191,-2966,,,,-7126,-8085
레인보우로보틱스,+1964,+136,-2285,+300,,-135,,,,-2450,+100
로보로보,+3924,-3905,,,,,,,,,
로보스타,-9866,+7332,,,,,,,,,+2288
로보티즈,-4095,+4079,,,,,,,,,
로지시스,+3157,+6567,-9440,-9440,,,,,,,+43
로체시스템즈,+9245,-9260,,,,,,,,,
룽투코리아,-76293,+28807,-1485,-1485,,,,,,,+51266
리노공업,+8017,-8315,+268,+1254,-4,-87,,,-662,-233,+121
리노스,-36984,+35774,,,,,,,,,+476
리드코프,-7036,+26022,+4435,+589,,,,-2000,,+5846,-19980
리메드,-8630,+3185,+5318,-12,,,,,+5000,+330,-10
린드먼아시아,-18617,+18622,,,,,,,,,
링네트,+807,-5457,,,,,,,,,+4700
링크제니시스,+3395,-3495,,,,,,,,,
마니커에프앤지,+1848,-1880,,,,,,,,,
마이크로디지탈,-33559,+24624,+6944,+7000,,+4444,,,,-4500,+944
마이크로컨텍솔,-10315,+7219,+2707,+2332,,,,,,+375,+316
마이크로프랜드,-2972,+2738,,,,,,,,,+287
마크로젠,-2242,-1102,+4249,+100,,,,,+4149,,-1104
맘스터치,+31240,-36770,+5308,+5308,,,,,,,
매일유업,-4776,+1869,+2604,+2199,,+500,,,+40,-135,+362
매일홀딩스,-3856,+3945,,,,,,,,,
매커스,+30599,-29041,,,,,,,,,-1555
머큐리,+9093,-9113,+77,+77,,,,,,,
멀티캠퍼스,-3616,+3655,+1,+1,,,,,,,-41
메가스터디,+14762,-13447,+122,+122,,,,,,,-1041
메가스터디교육,-55269,+33483,+21433,-3555,+13970,+4247,,+358,+755,+5658,+465
메가엠디,-42565,+54179,-2107,,,,,,,-2107,-5790
메드팩토,+3612,-17300,+13172,+22,+47,-1020,,-31,+14255,-101,+567
메디아나,+7947,-5385,,,,,,,,,-1056
메디포스트,-1101,-315,+1491,+1313,-7,,,,+200,-15,
메디프론,+880855,+28197,+26,+26,,,,,,,-910629
메지온,+2898,-750,-1661,+50,,-1341,,,-14,-356,-163
메타바이오메드,-3930,+3380,,,,,,,,,+1000
모다이노칩,-2106,+2106,,,,,,,,,
모두투어,+7489,-5497,-3374,+1712,,-86,,,,-5000,+1222
모바일리더,-5407,+5405,,,,,,,,,
